;codgeo;libgeo;date_arrete;nb_vp_rechargeables_el;nb_vp_rechargeables_gaz;nb_vp
12004;10444;VULAINES;2023-03-31;1;0;272
33694;1125;CORVEISSIAT;2023-03-31;12;0;758
33825;1179;GRIÈGES;2023-03-31;16;0;2000
33909;1212;LESCHEROUX;2022-09-30;4;0;831
34036;1260;LE MONTELLIER;2022-12-31;6;0;334
34221;1329;ROSSILLON;2023-03-31;2;0;214
34508;1420;THOISSEY;2022-12-31;13;0;1576
34792;2047;BARENTON-CEL;2022-09-30;1;0;133
34888;2076;BERTRICOURT;2021-12-31;0;0;152
34951;2095;BOHAIN-EN-VERMANDOIS;2023-03-31;27;1;4876
35184;2170;CHÂTILLON-SUR-OISE;2023-03-31;0;0;140
35225;2183;CHEVREGNY;2023-03-31;5;0;228
35291;2207;COMMENCHON;2022-09-30;0;0;225
35433;2249;CUIRY-HOUSSE;2023-03-31;1;0;140
35474;2261;DERCY;2023-03-31;3;0;453
36083;2465;MARIGNY-EN-ORXOIS;2023-03-31;9;0;654
36171;2491;MONCEAU-LE-NEUF-ET-FAUCOUZY;2022-12-31;2;0;343
36262;2516;MONTIGNY-SOUS-MARLE;2022-12-31;0;0;62
36488;2583;PANCY-COURTECON;2022-12-31;0;0;76
40378;7136;LAVEYRUNE;2023-03-31;1;0;104
40434;7154;MAZAN-L'ABBAYE;2023-03-31;1;0;204
40775;7264;SAINT-MARCEL-D'ARDÈCHE;2021-12-31;28;0;3067
41177;8039;AVAUX;2023-03-31;6;0;607
41197;8047;BARBAISE;2023-03-31;1;0;121
41544;8170;FLEIGNEUX;2023-03-31;3;0;275
42370;8451;LE THOUR;2022-06-30;2;0;422
42466;8482;VILLERS-SUR-LE-MONT;2023-03-31;3;0;123
42793;9083;CASTÉRAS;2022-09-30;2;0;29
46598;9251;ROUMENGOUX;2022-06-30;3;0;202
46687;9277;SAINT-YBARS;2022-12-31;11;0;846
46844;9324;VARILHES;2023-03-31;51;0;3687
47227;10094;CHAVANGES;2022-12-31;5;0;654
47396;10147;FAYS-LA-CHAPELLE;2022-09-30;1;0;167
47574;10201;LA LOGE-POMBLIN;2022-06-30;0;0;105
47842;10279;PARS-LÈS-CHAVANGES;2023-03-31;1;0;67
48103;10362;SAINTE-SAVINE;2023-03-31;123;2;9353
48263;10412;VILLECHÉTIF;2023-03-31;31;0;954
48332;10433;VILLY-EN-TRODES;2023-03-31;1;0;260
48372;10443;VOUGREY;2022-12-31;0;0;46
48507;11035;BELVIANES-ET-CAVIRAC;2023-03-31;1;0;353
48571;11056;CABRESPINE;2023-03-31;2;0;196
48885;11146;FLOURE;2021-12-31;6;0;400
59507;2633;QUINCY-SOUS-LE-MONT;2022-09-30;2;0;78
59518;2636;REGNY;2022-12-31;0;0;221
59779;2716;SERVAIS;2023-03-31;4;0;323
59933;2762;VASSENS;2023-03-31;0;0;229
59975;2774;VENDELLES;2023-03-31;1;0;131
60038;2792;VEUILLY-LA-POTERIE;2022-09-30;0;0;205
60208;3007;ARPHEUILLES-SAINT-PRIEST;2023-03-31;3;0;434
60326;3038;BRANSAT;2023-03-31;5;0;610
60596;3112;ÉTROUSSAT;2022-12-31;8;0;779
61203;3296;VALIGNY;2022-09-30;2;0;463
61210;3298;VARENNES-SUR-ALLIER;2023-03-31;39;0;3936
61317;4009;ARCHAIL;2023-03-31;0;0;15
61531;4085;FAUCON-DU-CAIRE;2022-03-31;0;0;54
62299;5119;RISOUL;2022-12-31;13;0;898
130021;6125;SAINT-MARTIN-D'ENTRAUNES;2022-12-31;0;0;86
130024;6126;SAINT-MARTIN-DU-VAR;2023-03-31;69;0;3352
130026;6127;SAINT-MARTIN-VÉSUBIE;2022-12-31;15;0;1294
130031;6128;SAINT-PAUL-DE-VENCE;2022-03-31;123;0;4895
130033;6129;SAINT-SAUVEUR-SUR-TINÉE;2022-12-31;6;0;299
130038;6130;SAINT-VALLIER-DE-THIEY;2022-12-31;72;0;4591
130040;6131;SALLAGRIFFON;2022-12-31;0;0;62
130041;6132;SAORGE;2023-03-31;3;0;424
130043;6133;SAUZE;2023-03-31;0;0;77
130044;6134;SÉRANON;2021-06-30;5;0;698
130047;6135;SIGALE;2022-09-30;0;0;249
130050;6136;SOSPEL;2023-03-31;65;0;4169
130054;6137;SPÉRACÈDES;2022-12-31;43;0;1588
130056;6138;THÉOULE-SUR-MER;2021-12-31;42;0;2565
130062;6139;THIÉRY;2023-03-31;0;0;25
130068;6140;LE TIGNET;2022-12-31;118;0;4286
130069;6141;TOUDON;2021-09-30;4;0;407
130071;6142;TOUËT-DE-L'ESCARÈNE;2023-03-31;1;0;327
130076;6143;TOUËT-SUR-VAR;2022-12-31;10;0;754
130082;6145;TOURETTE-DU-CHÂTEAU;2022-12-31;4;0;141
130086;6146;TOURNEFORT;2022-12-31;2;0;194
130089;6147;TOURRETTE-LEVENS;2023-03-31;158;0;5150
130090;6148;TOURRETTES-SUR-LOUP;2021-06-30;87;0;5411
130098;6150;LA TURBIE;2022-03-31;64;1;3537
130101;6151;UTELLE;2022-12-31;10;0;1002
130102;6152;VALBONNE;2021-03-31;336;5;16613
130104;6153;VALDEBLORE;2023-03-31;16;0;1121
130108;6154;VALDEROURE;2023-03-31;4;0;593
130111;6155;VALLAURIS;2023-03-31;668;0;32098
130115;6156;VENANSON;2022-12-31;4;0;169
130117;6157;VENCE;2022-03-31;342;0;20835
130120;6158;VILLARS-SUR-VAR;2023-03-31;8;0;867
130122;6159;VILLEFRANCHE-SUR-MER;2021-09-30;79;0;5494
130127;6160;VILLENEUVE-D'ENTRAUNES;2022-06-30;1;0;67
130130;6161;VILLENEUVE-LOUBET;2023-03-31;587;1;21120
130132;6162;LA BRIGUE;2022-03-31;4;0;560
130133;6163;TENDE;2021-06-30;1;0;1858
130143;7001;ACCONS;2022-12-31;1;0;477
130146;7002;AILHON;2023-03-31;7;0;619
130150;7003;AIZAC;2022-09-30;1;0;187
130152;7004;AJOUX;2022-09-30;2;0;116
130154;7005;ALBA-LA-ROMAINE;2023-03-31;36;0;1785
130159;7006;ALBON-D'ARDÈCHE;2023-03-31;0;0;188
130162;7007;ALBOUSSIÈRE;2022-06-30;6;0;1132
130165;7008;ALISSAS;2022-03-31;23;0;1667
130167;7009;ANDANCE;2023-03-31;24;0;1474
130171;7010;ANNONAY;2022-12-31;150;0;18503
130173;7011;VALLÉES-D'ANTRAIGUES-ASPERJOC;2021-12-31;4;0;1001
130177;7012;ARCENS;2022-12-31;0;0;453
130180;7013;ARDOIX;2022-12-31;13;0;1426
130183;7014;ARLEBOSC;2022-06-30;4;0;445
130189;7015;ARRAS-SUR-RHÔNE;2023-03-31;9;0;598
130191;7017;LES ASSIONS;2022-12-31;10;0;877
130194;7018;ASTET;2022-06-30;0;0;44
130197;7019;AUBENAS;2022-12-31;191;0;13247
130202;7020;AUBIGNAS;2022-09-30;5;0;588
130203;7022;BAIX;2022-03-31;15;0;1397
130208;7023;BALAZUC;2022-12-31;4;0;465
130212;7024;BANNE;2021-12-31;8;0;870
130217;7025;BARNAS;2022-09-30;4;0;319
130219;7026;LE BÉAGE;2023-03-31;0;0;338
130224;7027;BEAUCHASTEL;2022-12-31;22;0;1749
130231;7030;BEAUVÈNE;2021-03-31;1;0;260
130236;7031;BERRIAS-ET-CASTELJAU;2023-03-31;9;0;872
130241;7032;BERZÈME;2022-12-31;3;0;189
130243;7033;BESSAS;2022-03-31;7;0;295
130247;7034;BIDON;2023-03-31;9;0;318
130250;7035;BOFFRES;2022-12-31;9;0;830
130253;7036;BOGY;2022-09-30;4;0;495
130256;7037;BORÉE;2022-12-31;0;0;201
130264;7039;BOZAS;2023-03-31;4;0;336
130269;7040;BOUCIEU-LE-ROI;2023-03-31;0;0;354
130273;7041;BOULIEU-LÈS-ANNONAY;2022-06-30;30;0;2560
130279;7042;BOURG-SAINT-ANDÉOL;2022-06-30;76;0;9201
130284;7044;BROSSAINC;2022-09-30;7;0;342
130287;7045;BURZET;2023-03-31;10;0;584
130291;7047;CELLIER-DU-LUC;2022-12-31;0;0;99
130295;7048;CHALENCON;2023-03-31;3;0;376
130298;7049;LE CHAMBON;2021-09-30;0;0;56
130299;7050;CHAMBONAS;2022-03-31;6;0;874
130307;7052;CHAMPIS;2022-09-30;2;0;727
130310;7053;CHANDOLAS;2023-03-31;10;0;574
130314;7054;CHANÉAC;2022-09-30;2;0;320
130319;7055;CHARMES-SUR-RHÔNE;2023-03-31;44;0;3064
130323;7056;CHARNAS;2023-03-31;15;0;979
130326;7058;CHASSIERS;2022-06-30;11;0;1113
130331;7060;CHÂTEAUNEUF-DE-VERNOUX;2021-06-30;3;0;269
130334;7061;CHAUZON;2022-09-30;4;0;516
130337;7062;CHAZEAUX;2023-03-31;0;0;167
130342;7063;CHEMINAS;2023-03-31;6;0;411
130345;7064;LE CHEYLARD;2022-06-30;21;0;3111
130349;7065;CHIROLS;2022-09-30;3;0;306
130351;7066;CHOMÉRAC;2022-03-31;29;0;3397
130352;7067;COLOMBIER-LE-CARDINAL;2021-03-31;0;0;340
130353;7068;COLOMBIER-LE-JEUNE;2022-09-30;4;0;638
130358;7069;COLOMBIER-LE-VIEUX;2022-12-31;9;0;745
130361;7070;CORNAS;2022-09-30;27;0;2417
130367;7071;COUCOURON;2022-12-31;8;0;862
130372;7073;LE CRESTET;2022-12-31;3;0;630
130375;7074;CREYSSEILLES;2022-12-31;3;0;185
130380;7075;CROS-DE-GÉORAND;2022-12-31;1;0;177
130382;7076;CRUAS;2022-03-31;44;0;3253
130386;7077;DARBRES;2022-12-31;7;0;283
130390;7078;DAVÉZIEUX;2022-12-31;76;0;3791
130397;7079;DÉSAIGNES;2023-03-31;6;1;1398
130402;7080;DEVESSET;2022-12-31;1;0;378
130403;7081;DOMPNAC;2021-06-30;1;0;106
130405;7082;DORNAS;2023-03-31;1;0;328
130407;7083;DUNIÈRE-SUR-EYRIEUX;2022-12-31;3;0;491
130413;7084;ECLASSAN;2022-12-31;9;0;1175
130414;7085;EMPURANY;2023-03-31;5;0;695
130418;7086;ÉTABLES;2022-06-30;3;0;992
130422;7087;FABRAS;2022-09-30;2;0;459
130432;7090;FLAVIAC;2023-03-31;10;0;1381
130439;7092;FREYSSENET;2022-09-30;1;0;86
130443;7093;GENESTELLE;2022-12-31;1;0;328
130446;7094;GILHAC-ET-BRUZAC;2022-09-30;4;0;203
130448;7095;GILHOC-SUR-ORMÈZE;2022-09-30;3;0;505
130452;7096;GLUIRAS;2023-03-31;2;0;447
130457;7097;GLUN;2023-03-31;13;0;732
130462;7099;GRAS;2021-12-31;11;0;660
130467;7100;GRAVIÈRES;2023-03-31;7;0;603
130470;7101;GROSPIERRES;2022-12-31;12;0;1127
130474;7102;GUILHERAND-GRANGES;2022-12-31;188;0;10768
130476;7103;SAINT-JULIEN-D'INTRES;2022-12-31;0;0;373
130479;7104;ISSAMOULENC;2022-09-30;1;0;90
130487;7105;ISSANLAS;2022-12-31;3;0;159
130489;7106;ISSARLÈS;2022-06-30;0;0;156
130493;7107;JAUJAC;2023-03-31;13;0;1327
130495;7108;JAUNAC;2022-09-30;0;0;135
130498;7109;JOANNAS;2022-06-30;2;0;403
130502;7110;JOYEUSE;2023-03-31;42;0;1983
130508;7111;JUVINAS;2023-03-31;0;0;202
130512;7112;LABASTIDE-SUR-BÉSORGUES;2022-06-30;0;0;277
130515;7113;LABASTIDE-DE-VIRAC;2023-03-31;7;0;363
130517;7114;LABATIE-D'ANDAURE;2022-03-31;0;0;292
130522;7115;LABEAUME;2022-12-31;16;0;805
130525;7116;LABÉGUDE;2022-03-31;6;0;1697
130529;7117;LABLACHÈRE;2022-12-31;31;0;2566
130535;7118;LABOULE;2022-12-31;2;0;182
130541;7119;LE LAC-D'ISSARLÈS;2023-03-31;0;0;256
130545;7120;LACHAMP-RAPHAËL;2022-09-30;0;0;79
130550;7121;LACHAPELLE-GRAILLOUSE;2022-06-30;1;0;234
130556;7122;LACHAPELLE-SOUS-AUBENAS;2022-06-30;13;0;1850
130560;7123;LACHAPELLE-SOUS-CHANÉAC;2022-09-30;0;0;215
130571;7127;LALEVADE-D'ARDÈCHE;2023-03-31;7;0;1156
130576;7128;LALOUVESC;2022-12-31;2;0;436
130578;7129;LAMASTRE;2022-03-31;6;0;2350
130583;7130;LANARCE;2022-12-31;2;0;267
130585;7131;LANAS;2022-09-30;1;0;526
130588;7132;LARGENTIÈRE;2022-03-31;16;0;2112
130590;7133;LARNAS;2022-06-30;2;0;268
130594;7134;LAURAC-EN-VIVARAIS;2022-03-31;4;0;1089
130597;7137;LAVILLATTE;2023-03-31;0;0;60
130600;7138;LAVILLEDIEU;2022-06-30;33;0;2545
130603;7139;LAVIOLLE;2022-12-31;0;0;146
130609;7141;LENTILLÈRES;2022-06-30;1;0;275
130615;7142;LESPÉRON;2022-12-31;0;0;465
130619;7143;LIMONY;2022-12-31;9;0;951
130622;7144;LOUBARESSE;2022-09-30;0;0;33
130624;7145;LUSSAS;2022-09-30;15;0;1334
130626;7146;LYAS;2021-12-31;2;0;681
130628;7147;MALARCE-SUR-LA-THINES;2022-03-31;0;0;367
130632;7148;MALBOSC;2023-03-31;2;0;271
130635;7149;MARCOLS-LES-EAUX;2021-06-30;0;0;194
130637;7150;MARIAC;2022-09-30;4;0;743
130644;7152;MAUVES;2023-03-31;26;0;1359
130652;7155;MERCUER;2022-12-31;13;0;1524
130656;7156;MEYRAS;2022-12-31;6;1;1068
130660;7157;MEYSSE;2023-03-31;23;0;1643
130663;7158;MÉZILHAC;2023-03-31;0;0;152
130678;7161;MONTPEZAT-SOUS-BAUZON;2022-09-30;3;0;786
130683;7163;MONTSELGUES;2021-03-31;0;0;113
130686;7165;BELSENTES;2022-03-31;2;0;694
130696;7167;LES OLLIÈRES-SUR-EYRIEUX;2022-12-31;21;0;1065
130700;7168;ORGNAC-L'AVEN;2023-03-31;22;0;703
130704;7170;PAILHARÈS;2022-09-30;0;0;380
130712;7172;PEAUGRES;2022-12-31;49;0;2741
130714;7173;PÉREYRES;2022-06-30;0;0;21
130717;7174;PEYRAUD;2021-12-31;0;0;648
130719;7175;LE PLAGNAL;2022-12-31;0;0;81
130725;7176;PLANZOLLES;2022-09-30;1;0;169
130726;7177;PLATS;2021-03-31;3;0;945
130730;7178;PONT-DE-LABEAUME;2023-03-31;3;0;679
130733;7179;POURCHÈRES;2022-09-30;0;0;151
130737;7181;LE POUZIN;2022-09-30;33;0;3236
130743;7183;PRADONS;2022-09-30;6;0;563
130745;7184;PRANLES;2022-06-30;3;0;543
130753;7186;PRIVAS;2023-03-31;127;0;9478
130759;7188;QUINTENAS;2023-03-31;27;0;1961
130763;7189;RIBES;2023-03-31;9;0;357
130770;7190;ROCHECOLOMBE;2022-12-31;3;0;260
130776;7191;ROCHEMAURE;2022-12-31;51;0;2576
130779;7192;ROCHEPAULE;2022-09-30;1;0;385
130783;7193;ROCHER;2022-06-30;4;0;207
130786;7194;ROCHESSAUVE;2021-12-31;5;0;556
130797;7197;ROIFFIEUX;2023-03-31;26;0;3138
130801;7198;ROMPON;2022-09-30;12;0;1233
130808;7200;LE ROUX;2023-03-31;0;0;65
130812;7201;RUOMS;2023-03-31;34;0;2452
130814;7202;SABLIÈRES;2022-12-31;0;0;185
130818;7203;SAGNES-ET-GOUDOULET;2023-03-31;2;0;172
130823;7204;SAINT-AGRÈVE;2023-03-31;11;0;2918
130826;7205;SAINT-ALBAN-D'AY;2023-03-31;11;0;1678
130829;7206;SAINT-ALBAN-EN-MONTAGNE;2023-03-31;1;0;82
130832;7207;SAINT-ALBAN-AURIOLLES;2021-06-30;7;0;1298
130833;7208;SAINT-ANDÉOL-DE-BERG;2021-03-31;0;0;166
130839;7209;SAINT-ANDÉOL-DE-FOURCHADES;2022-12-31;0;0;62
130842;7210;SAINT-ANDÉOL-DE-VALS;2022-09-30;2;0;622
130845;7211;SAINT-ANDRÉ-DE-CRUZIÈRES;2022-12-31;8;0;650
130847;7212;SAINT-ANDRÉ-EN-VIVARAIS;2022-12-31;0;0;350
130851;7213;SAINT-ANDRÉ-LACHAMP;2023-03-31;3;1;192
130857;7214;SAINT-APOLLINAIRE-DE-RIAS;2022-12-31;3;0;230
130861;7215;SAINT-BARTHÉLEMY-LE-MEIL;2022-09-30;1;0;285
130863;7216;SAINT-BARTHÉLEMY-GROZON;2022-03-31;1;0;589
130869;7217;SAINT-BARTHÉLEMY-LE-PLAIN;2023-03-31;10;0;972
130872;7218;SAINT-BASILE;2022-12-31;0;0;436
130884;7221;SAINT-CIERGE-LA-SERRE;2023-03-31;1;0;305
130888;7222;SAINT-CIERGE-SOUS-LE-CHEYLARD;2022-06-30;2;0;268
130891;7223;SAINT-CIRGUES-DE-PRADES;2022-09-30;0;0;145
130895;7224;SAINT-CIRGUES-EN-MONTAGNE;2022-12-31;1;0;294
130910;7228;SAINT-DÉSIRAT;2022-12-31;11;0;1004
130914;7229;SAINT-DIDIER-SOUS-AUBENAS;2022-06-30;9;0;878
130917;7230;SAINT-ÉTIENNE-DE-BOULOGNE;2023-03-31;4;0;441
130921;7231;SAINT-ÉTIENNE-DE-FONTBELLON;2022-12-31;53;0;3106
130924;7232;SAINT-ÉTIENNE-DE-LUGDARÈS;2022-12-31;1;0;422
130926;7233;SAINT-ÉTIENNE-DE-SERRE;2022-12-31;2;0;241
130929;7234;SAINT-ÉTIENNE-DE-VALOUX;2021-12-31;3;0;256
130936;7236;SAINT-FÉLICIEN;2023-03-31;11;0;1237
130941;7237;SAINT-FORTUNAT-SUR-EYRIEUX;2022-12-31;11;0;869
130945;7238;SAINT-GENEST-DE-BEAUZON;2023-03-31;0;0;400
130947;7239;SAINT-GENEST-LACHAMP;2023-03-31;6;0;151
130949;7240;SAINT-GEORGES-LES-BAINS;2021-06-30;15;0;2525
130955;7242;SAINT-GINEIS-EN-COIRON;2022-09-30;3;0;130
130959;7243;SAINT-JACQUES-D'ATTICIEUX;2023-03-31;2;0;414
130963;7244;SAINT-JEAN-CHAMBRE;2023-03-31;2;0;350
130966;7245;SAINT-JEAN-DE-MUZOLS;2022-03-31;29;0;2633
130971;7247;SAINT-JEAN-LE-CENTENIER;2022-12-31;10;0;878
130973;7248;SAINT-JEAN-ROURE;2022-06-30;0;0;352
130977;7249;SAINT-JEURE-D'ANDAURE;2022-12-31;1;0;107
130980;7250;SAINT-JEURE-D'AY;2023-03-31;5;0;563
130984;7251;SAINT-JOSEPH-DES-BANCS;2023-03-31;0;0;199
130989;7253;SAINT-JULIEN-DU-GUA;2023-03-31;4;0;202
130993;7254;SAINT-JULIEN-DU-SERRE;2022-06-30;11;0;1020
130996;7255;SAINT-JULIEN-EN-SAINT-ALBAN;2022-06-30;16;0;1758
130998;7257;SAINT-JULIEN-LE-ROUX;2021-12-31;4;0;148
131000;7258;SAINT-JULIEN-VOCANCE;2021-06-30;2;0;293
131004;7259;SAINT-JUST-D'ARDÈCHE;2023-03-31;30;0;1936
131010;7260;SAINT-LAGER-BRESSAC;2022-12-31;26;0;1119
131013;7261;SAINT-LAURENT-DU-PAPE;2022-09-30;17;0;1752
131015;7262;SAINT-LAURENT-LES-BAINS-LAVAL-D'AURELLE;2021-12-31;0;0;128
131021;7263;SAINT-LAURENT-SOUS-COIRON;2023-03-31;2;0;152
131023;7265;SAINT-MARCEL-LÈS-ANNONAY;2022-12-31;11;0;1618
131025;7266;SAINTE-MARGUERITE-LAFIGÈRE;2021-09-30;0;0;119
131031;7268;SAINT-MARTIN-D'ARDÈCHE;2022-12-31;28;0;1278
131035;7269;SAINT-MARTIN-DE-VALAMAS;2022-12-31;5;0;1266
131038;7270;SAINT-MARTIN-SUR-LAVEZON;2022-12-31;9;0;543
131044;7272;SAINT-MAURICE-D'ARDÈCHE;2023-03-31;5;0;444
131049;7273;SAINT-MAURICE-D'IBIE;2022-06-30;3;0;287
131054;7274;SAINT-MAURICE-EN-CHALENCON;2023-03-31;2;0;250
131055;7275;SAINT-MÉLANY;2021-09-30;3;0;105
131057;7276;SAINT-MICHEL-D'AURANCE;2022-12-31;2;0;308
131060;7277;SAINT-MICHEL-DE-BOULOGNE;2022-12-31;3;0;155
131063;7278;SAINT-MICHEL-DE-CHABRILLANOUX;2023-03-31;5;0;468
131066;7279;SAINT-MONTAN;2022-06-30;32;0;2315
131070;7280;SAINT-PAUL-LE-JEUNE;2022-06-30;12;0;1165
131072;7281;SAINT-PÉRAY;2023-03-31;187;1;7940
131075;7282;SAINT-PIERRE-DE-COLOMBIER;2022-12-31;1;0;390
131078;7283;SAINT-PIERRE-LA-ROCHE;2022-12-31;0;0;68
131082;7284;SAINT-PIERRE-SAINT-JEAN;2023-03-31;1;0;203
131086;7285;SAINT-PIERRE-SUR-DOUX;2022-12-31;3;0;113
131089;7286;SAINT-PIERREVILLE;2023-03-31;10;0;447
131109;7291;SAINT-REMÈZE;2023-03-31;9;0;1197
131113;7292;SAINT-ROMAIN-D'AY;2021-12-31;5;0;1326
131119;7293;SAINT-ROMAIN-DE-LERPS;2023-03-31;16;0;987
131123;7294;SAINT-SAUVEUR-DE-CRUZIÈRES;2022-12-31;5;0;738
131127;7295;SAINT-SAUVEUR-DE-MONTAGUT;2022-06-30;17;0;1181
131136;7298;SAINT-SYMPHORIEN-SOUS-CHOMÉRAC;2023-03-31;13;0;935
131139;7299;SAINT-SYMPHORIEN-DE-MAHUN;2022-03-31;1;0;165
131142;7300;SAINT-THOMÉ;2022-09-30;15;0;592
131149;7302;SAINT-VINCENT-DE-BARRÈS;2023-03-31;33;0;1033
131152;7303;SAINT-VINCENT-DE-DURFORT;2022-12-31;0;0;305
131156;7304;SALAVAS;2023-03-31;12;0;862
131165;7306;SAMPZON;2022-09-30;5;0;279
131171;7308;SARRAS;2023-03-31;20;0;2402
131176;7309;SATILLIEU;2023-03-31;14;0;1829
131178;7310;SAVAS;2023-03-31;24;0;1139
131180;7311;SCEAUTRES;2022-12-31;10;0;192
131184;7312;SÉCHERAS;2023-03-31;9;0;628
131190;7314;SILHAC;2022-03-31;2;0;469
131194;7315;LA SOUCHE;2022-12-31;7;0;450
131197;7316;SOYONS;2023-03-31;52;0;2518
131202;7317;TALENCIEUX;2023-03-31;14;0;1255
131207;7318;TAURIERS;2022-12-31;2;0;243
131211;7319;LE TEIL;2022-06-30;98;0;9900
131213;7321;THORRENC;2021-06-30;1;0;303
131216;7322;THUEYTS;2022-03-31;4;0;1224
131221;7323;TOULAUD;2023-03-31;30;0;1866
131225;7324;TOURNON-SUR-RHÔNE;2023-03-31;162;0;11159
131228;7325;UCEL;2022-03-31;21;0;2403
131231;7326;USCLADES-ET-RIEUTORD;2022-06-30;0;0;151
131242;7328;VAGNAS;2022-12-31;13;0;704
131246;7329;VALGORGE;2023-03-31;4;0;388
131247;7330;VALLON-PONT-D'ARC;2022-06-30;31;0;2940
131250;7331;VALS-LES-BAINS;2023-03-31;33;0;4155
131254;7332;VALVIGNÈRES;2023-03-31;17;0;527
131257;7333;VANOSC;2022-06-30;9;0;1110
131258;7334;LES VANS;2022-03-31;26;0;3453
131263;7335;VAUDEVANT;2022-09-30;0;0;273
131273;7337;VERNOSC-LÈS-ANNONAY;2022-09-30;23;0;2874
131278;7338;VERNOUX-EN-VIVARAIS;2023-03-31;16;0;2083
131281;7339;VESSEAUX;2023-03-31;20;0;2182
131285;7340;VEYRAS;2022-06-30;17;0;1889
131286;7341;VILLENEUVE-DE-BERG;2021-03-31;26;0;3110
131290;7342;VILLEVOCANCE;2022-09-30;5;0;1443
131294;7343;VINEZAC;2022-06-30;18;0;1605
131295;7344;VINZIEUX;2021-03-31;5;0;513
131307;7347;VOCANCE;2023-03-31;3;0;762
131308;7348;VOGÜÉ;2020-12-31;3;0;1265
131312;7349;LA VOULTE-SUR-RHÔNE;2022-12-31;66;2;5414
131318;8001;ACY-ROMANCE;2022-09-30;5;0;434
131323;8003;AIGLEMONT;2022-12-31;33;0;1874
131326;8004;AIRE;2023-03-31;4;0;284
131329;8005;ALINCOURT;2022-12-31;2;0;145
131332;8006;ALLAND'HUY-ET-SAUSSEUIL;2023-03-31;0;0;299
131335;8008;AMAGNE;2022-06-30;4;0;874
131337;8010;AMBLY-FLEURY;2022-09-30;0;0;217
131340;8011;ANCHAMPS;2023-03-31;2;0;265
131345;8013;ANGECOURT;2022-12-31;1;0;424
131348;8014;ANNELLES;2022-03-31;1;0;146
131351;8015;ANTHENY;2022-09-30;2;0;143
131352;8016;AOUSTE;2023-03-31;1;0;214
131360;8018;ARDEUIL-ET-MONTFAUXELLES;2021-12-31;0;0;82
131364;8019;LES GRANDES-ARMOISES;2023-03-31;1;0;48
131368;8020;LES PETITES-ARMOISES;2022-12-31;0;0;86
131373;8021;ARNICOURT;2022-12-31;2;0;179
131374;8022;ARREUX;2020-12-31;1;0;401
131377;8023;ARTAISE-LE-VIVIER;2023-03-31;0;0;69
131382;8024;ASFELD;2022-06-30;15;0;1227
131387;8026;AUBIGNY-LES-POTHÉES;2023-03-31;1;0;351
131391;8027;AUBONCOURT-VAUZELLES;2022-12-31;1;0;130
131395;8028;AUBRIVES;2023-03-31;23;0;1183
131396;8029;AUFLANCE;2022-12-31;0;0;139
131402;8031;AURE;2022-06-30;0;0;69
131406;8032;AUSSONCE;2022-06-30;2;0;227
131409;8033;AUTHE;2023-03-31;2;0;121
131412;8034;AUTRECOURT-ET-POURRON;2022-12-31;2;0;440
131415;8035;AUTRUCHE;2022-12-31;0;0;71
131421;8036;AUTRY;2023-03-31;3;0;141
131424;8037;AUVILLERS-LES-FORGES;2022-03-31;6;0;1020
131431;8040;LES AYVELLES;2022-12-31;15;0;905
131434;8041;BAÂLONS;2022-03-31;2;0;297
131439;8044;BALHAM;2022-06-30;2;0;179
131442;8045;BALLAY;2023-03-31;4;0;324
131449;8046;BANOGNE-RECOUVRANCE;2022-12-31;0;0;199
131458;8049;BAR-LÈS-BUZANCY;2022-12-31;0;0;157
131463;8052;BAYONVILLE;2023-03-31;0;0;119
131469;8053;BAZEILLES;2023-03-31;32;0;2804
131471;8055;BEAUMONT-EN-ARGONNE;2021-09-30;0;0;542
131472;8056;BEFFU-ET-LE-MORTHOMME;2022-09-30;0;0;70
131474;8057;BELLEVILLE-ET-CHÂTILLON-SUR-BAR;2021-09-30;0;0;449
131478;8059;BELVAL-BOIS-DES-DAMES;2023-03-31;1;0;51
131482;8060;BERGNICOURT;2022-09-30;4;0;270
131484;8061;LA BERLIÈRE;2023-03-31;0;0;56
131489;8062;BERTONCOURT;2023-03-31;1;0;156
131491;8063;LA BESACE;2022-09-30;0;0;168
131493;8064;BIERMES;2023-03-31;3;0;294
131502;8066;BIGNICOURT;2022-03-31;1;0;95
131506;8067;BLAGNY;2022-09-30;5;0;1368
131511;8069;BLANCHEFOSSE-ET-BAY;2022-12-31;0;0;176
131517;8070;BLANZY-LA-SALONNAISE;2023-03-31;4;0;405
131520;8071;BLOMBAY;2022-12-31;0;0;163
131526;8073;BOSSUS-LÈS-RUMIGNY;2022-12-31;0;0;105
131533;8074;BOUCONVILLE;2022-12-31;0;0;63
131536;8075;BOULT-AUX-BOIS;2023-03-31;1;0;191
131539;8076;BOULZICOURT;2022-12-31;11;0;1084
131544;8077;BOURCQ;2023-03-31;1;0;75
131548;8078;BOURG-FIDÈLE;2023-03-31;12;0;1148
131553;8080;BOUVELLEMONT;2023-03-31;1;0;129
131555;8081;BOGNY-SUR-MEUSE;2022-09-30;32;1;5100
131558;8082;BRÉCY-BRIÈRES;2022-09-30;0;0;94
131562;8083;BRÉVILLY;2023-03-31;5;0;487
131566;8084;BRIENNE-SUR-AISNE;2022-09-30;4;0;251
131569;8085;BRIEULLES-SUR-BAR;2022-09-30;0;0;247
131574;8086;BRIQUENAY;2022-09-30;0;0;158
