;codgeo;libgeo;date_arrete;nb_vp_rechargeables_el;nb_vp_rechargeables_gaz;nb_vp
300866;73121;FRONTENEX;2023-03-31;29;0;2188
300868;73122;GERBAIX;2021-09-30;3;0;515
300873;73123;LA GIETTAZ;2023-03-31;6;0;506
300877;73124;GILLY-SUR-ISÈRE;2022-12-31;56;0;3450
300879;73128;GRÉSY-SUR-AIX;2022-12-31;136;1;5041
300884;73130;GRIGNON;2023-03-31;23;0;2457
300888;73132;HAUTELUCE;2023-03-31;18;0;922
300892;73133;HAUTEVILLE;2023-03-31;5;0;410
300896;73135;LA TOUR-EN-MAURIENNE;2023-03-31;10;0;1235
300897;73137;JACOB-BELLECOMBETTE;2023-03-31;60;0;3232
300901;73138;JARRIER;2022-09-30;8;0;586
300902;73139;JARSY;2021-06-30;0;0;348
300905;73140;JONGIEUX;2023-03-31;6;0;349
300910;73141;LAISSAUD;2023-03-31;18;0;785
300914;73142;LANDRY;2022-06-30;6;0;1028
300916;73145;LÉPIN-LE-LAC;2022-06-30;7;0;523
300918;73146;LESCHERAINES;2022-06-30;6;0;869
300923;73147;LOISIEUX;2023-03-31;8;0;249
300927;73150;LA PLAGNE TARENTAISE;2022-12-31;40;1;4529
300929;73151;PORTE-DE-SAVOIE;2021-12-31;76;2;4278
300933;73152;MARCIEUX;2022-12-31;1;0;234
300937;73153;MARTHOD;2022-09-30;17;0;1566
300942;73154;MERCURY;2023-03-31;64;0;3566
300948;73155;MÉRY;2023-03-31;88;1;2566
300953;73157;MODANE;2022-06-30;25;0;3620
300959;73159;LES MOLLETTES;2023-03-31;11;0;876
300962;73160;MONTAGNOLE;2023-03-31;35;0;1017
300969;73162;MONTAILLEUR;2023-03-31;10;0;764
300972;73164;MONTCEL;2022-06-30;32;0;1208
300974;73166;MONTENDRY;2021-12-31;1;0;83
300979;73168;MONTGILBERT;2022-12-31;2;0;143
300985;73170;MONTHION;2022-12-31;4;0;643
300987;73171;MONTMÉLIAN;2023-03-31;44;0;4096
300989;73173;MONTRICHER-ALBANNE;2022-12-31;7;0;575
300993;73175;MONTSAPEY;2022-06-30;0;0;90
300996;73176;MONTVALEZAN;2023-03-31;12;0;868
300999;73177;MONTVERNIER;2022-06-30;3;0;261
301004;73178;LA MOTTE-EN-BAUGES;2022-06-30;7;0;591
301008;73179;LA MOTTE-SERVOLEX;2022-03-31;454;3;13155
301012;73180;MOTZ;2022-09-30;4;0;600
301017;73181;MOÛTIERS;2021-12-31;23;0;4030
301019;73182;MOUXY;2022-12-31;57;0;2387
